,Station No.,Status,Time,Stands,Bikes Avail,Spaces Avail,Bank,human_readible,weather_tamp,weather_rain,weather_temperature,weather_time
124815,1.0,OPEN,1521147236000,31,7,24,0,15/03/2018 20:53:56,1521147600000.0,0.09,7.38,15/03/2018 21:00
124816,23.0,OPEN,1521147046000,30,14,16,1,15/03/2018 20:50:46,1521147600000.0,0.09,7.38,15/03/2018 21:00
124817,68.0,OPEN,1521147258000,40,7,33,1,15/03/2018 20:54:18,1521147600000.0,0.09,7.38,15/03/2018 21:00
124818,74.0,OPEN,1521147178000,30,2,28,0,15/03/2018 20:52:58,1521147600000.0,0.09,7.38,15/03/2018 21:00
124820,84.0,OPEN,1521147261000,30,29,1,0,15/03/2018 20:54:21,1521147600000.0,0.09,7.38,15/03/2018 21:00
124821,90.0,CLOSED,1521147054000,40,0,0,0,15/03/2018 20:50:54,1521147600000.0,0.09,7.38,15/03/2018 21:00
124822,11.0,OPEN,1521147125000,30,0,30,0,15/03/2018 20:52:05,1521147600000.0,0.09,7.38,15/03/2018 21:00
124823,17.0,OPEN,1521147024000,20,11,9,0,15/03/2018 20:50:24,1521147600000.0,0.09,7.38,15/03/2018 21:00
124824,45.0,OPEN,1521147196000,30,24,6,0,15/03/2018 20:53:16,1521147600000.0,0.09,7.38,15/03/2018 21:00
124825,72.0,OPEN,1521147232000,31,2,29,0,15/03/2018 20:53:52,1521147600000.0,0.09,7.38,15/03/2018 21:00
124827,91.0,OPEN,1521147063000,30,24,6,0,15/03/2018 20:51:03,1521147600000.0,0.09,7.38,15/03/2018 21:00
124828,99.0,OPEN,1521147155000,30,21,9,0,15/03/2018 20:52:35,1521147600000.0,0.09,7.38,15/03/2018 21:00
124829,9.0,OPEN,1521147064000,24,12,12,0,15/03/2018 20:51:04,1521147600000.0,0.09,7.38,15/03/2018 21:00
124830,67.0,OPEN,1521146996000,40,18,22,0,15/03/2018 20:49:56,1521147600000.0,0.09,7.38,15/03/2018 21:00
124832,62.0,OPEN,1521147096000,40,4,36,0,15/03/2018 20:51:36,1521147600000.0,0.09,7.38,15/03/2018 21:00
124833,5.0,OPEN,1521147221000,40,27,13,0,15/03/2018 20:53:41,1521147600000.0,0.09,7.38,15/03/2018 21:00
124836,77.0,OPEN,1521147049000,29,0,29,0,15/03/2018 20:50:49,1521147600000.0,0.09,7.38,15/03/2018 21:00
124837,73.0,OPEN,1521147148000,30,17,13,1,15/03/2018 20:52:28,1521147600000.0,0.09,7.38,15/03/2018 21:00
124838,4.0,OPEN,1521147154000,20,7,13,0,15/03/2018 20:52:34,1521147600000.0,0.09,7.38,15/03/2018 21:00
